gene_name,Day 0,Day 5,Day 9,Day 12,Day 15
FLRT3,2.979249591,1.075572737,3.115738555,6.16704493,12.85458664
FMN1,31.69406062,57.71612247,35.75554533,28.77905177,47.81688605
FOLR1,0.246772062,38.40294067,42.99158235,101.9573817,101.0804076
FOXP1,23.88368456,34.60422481,17.67171163,10.88836784,10.87499648
FOXP2,15.54139855,6.091748995,3.831513151,3.910374128,2.451882833
FREM1,0.980476429,2.57969033,0.4256671,0.899348363,0.645741403
FRMD5,4.85570956,9.788530923,16.58265372,8.001372104,8.215104821
FRMPD4,8.278591253,3.20128431,2.272875207,2.967322346,2.224011277
FTCD,0.10977707,0.033317924,0.315744752,1.389688973,0.577614428
GABBR2,34.68546942,9.273102976,4.745928641,7.059065679,3.609486167
GABRA5,0.616989116,1.165467912,0.608539732,1.916902991,0.025982591
GABRB3,0.644596188,0.338774822,0.694227837,0.329686489,1.968424089
GAD1,0.874444742,0.907133524,1.919378009,4.110220106,7.941214671
GAL,0.655700177,4.318459884,0.679602923,0.866994134,1.390419693
GAN,17.78138439,15.41099576,15.46400693,13.29245056,17.19254792
GATA2,13.20523135,32.11161314,14.604976,11.28325195,4.776819963
GATA6,18.94536943,7.218816384,0.504136079,0.357945674,1.182870067
GDF1,0.349952369,0.311795713,3.740629134,2.902437992,1.489531041
GDF6,22.00698834,1.66521733,0.801698739,2.713213041,17.39428511
GDF9,0.122737702,0.401573991,0.436508549,1.588077413,0.978012368
GDNF,31.25727979,24.06268391,12.89375644,16.32285321,22.49458769
GDPD1,2.38500461,1.208544269,2.248850988,2.539685004,1.713015416
GFAP,0.074847779,1.504546559,1.306263764,1.071319161,0
GFRA1,100.5178412,17.23026581,13.40467048,28.57807793,54.18507085
GGN,1.162561084,3.748118503,2.640942571,2.734479076,0.553917395
GGPS1,34.03471116,26.14252824,34.92171083,35.86191385,37.64713463
GJA3,2.896409683,2.751859363,3.400138955,4.404963881,5.294533734
GJB2,0.619906327,0.664655222,5.360524406,5.666879936,1.824213047
GJC2,1.567015266,1.275695398,0.646169262,0.58346779,0.347350811
GLDN,0.867305839,0.506381101,1.631548335,1.444680779,1.447170739
GLI1,2.039006329,1.282231876,0.878015872,0.124704244,1.08769612
GNA14,2.777320765,0.404264145,0.797537563,0.396744626,0.373527785
GNAO1,0.374050615,0.30406757,2.12746676,1.447754916,0.908072643
GNAT1,0,0.13569917,0.729077934,0.675685496,0.675889749
GNB3,5.599515648,3.722526992,6.991900958,4.103714408,2.107741408
GNE,36.26657598,26.91373791,27.00795005,23.82473783,29.17947592
GNRH1,3.435552181,1.889291516,0.834287176,2.242765523,1.233808382
GPD1,0.144079425,17.83632419,61.96375578,34.87588123,1.595986027
GPR156,1.109786223,4.313221739,3.432901181,3.606508851,1.562650403
GPR161,34.79811538,16.10167252,17.11427427,20.2146443,24.32541195
GPR179,0,0.824919623,2.499453749,0.24691811,0.201452091
GPR68,82.59004672,39.30496037,13.01432913,15.4353886,6.185000399
GPR88,0.06365375,1.693140745,1.526706066,0.619334276,0.132399045
GPRASP2,15.10670232,11.50372117,13.0330205,11.89640596,13.84457976
GREB1L,5.728412694,3.741078181,4.126922236,10.46157459,9.98326989
GRIA3,80.24274055,65.73201593,83.60750515,96.46000775,111.9999163
GRIA4,0.306826961,0.492364767,0.507783113,1.871920704,3.185694224
GRIK2,7.372588534,9.744070627,16.17051978,27.9739748,27.65309716
GRIN2A,1.538187887,0.761693563,1.137346284,0.693596218,0.541767206
GUCA1B,0.252406929,0.909217394,0.903463712,1.235647531,1.594714383
HCN3,1.666323383,1.882575572,1.973422442,2.954088304,3.186386429
HECW2,23.58022425,74.22617499,14.46416452,11.3648495,21.90729406
HFE,23.41764195,19.92127627,9.053902916,7.724254502,17.52422675
HID1,0.221859816,3.621888802,5.703783895,7.086154917,2.989748848
HK1,186.6508055,280.5511876,270.7592228,185.5343639,139.3024226
HKDC1,0.044972468,0.465816209,0.320877192,0.016534382,0.633817069
HOXA1,1.924346829,4.278768875,4.001762974,4.331807034,3.234135058
HOXA13,2.45447911,1.434194193,7.500340722,13.13661798,7.975794431
HOXB13,4.122672247,2.23817294,2.915267697,4.452384784,6.776241779
HOXD10,1.02766066,1.078253895,0.705920901,1.214492434,1.894008575
HR,46.26550737,10.48061409,3.439656122,0.688933643,1.219378886
HS3ST6,0.322260104,0,10.28925703,17.74152746,13.29847224
HSD11B2,0.077018995,1.643681567,16.25476433,7.372111778,0.312929842
HSF2BP,1.076524128,0.813398544,0.898263678,1.725789089,2.312491249
HYAL2,38.32547015,42.80548765,39.98424558,37.23068743,37.21558538
HYDIN,1.989167715,1.431187886,1.29247291,2.615285168,1.071015271
HYLS1,7.052839581,11.46701922,6.804616571,8.825377932,6.150182645
ID4,17.86961085,13.73015721,2.254742835,1.831699059,0.791020438
IGF2,9.637866433,0.745678953,2.020531933,11.16253602,15.07701636
IGSF10,13.14282903,1.519092364,20.1784204,20.24686556,55.82367363
IGSF3,0.235512431,2.647385795,4.179545428,9.01121997,6.954734352
IKBKG,36.50013627,39.97712256,35.41263589,40.20722838,34.07258164
IL17RD,9.098232662,5.685514321,16.52950877,17.75452318,21.08619298
IL31RA,1.187290058,3.007123613,1.33558828,3.482612142,2.032832481
IMPG2,0.430685523,0.853588254,0.818118147,0.500655666,2.193784138
ING1,12.49753115,14.31444019,12.82766599,13.78685023,12.35281265
ITGA6,31.94040184,146.469553,252.6765049,216.5351085,309.1233758
ITGA8,16.85478876,4.019699561,2.206113075,2.479644901,3.545973959
ITGB4,1.216728325,4.024865828,6.360952381,2.322054606,2.481268359
ITGB6,0,0.94339858,6.802283637,10.2146069,3.608606324
ITSN1,60.23331049,52.46663348,54.31315655,75.36414597,110.4340937
JAG2,1.760358404,6.622772911,44.18370052,46.44112623,20.92104861
JPH2,60.98505936,38.25842211,75.70379736,74.71361847,143.012067
KALRN,16.27557941,32.03648072,23.45852419,33.62285726,17.84427208
KANK1,53.55564448,54.14752584,115.0546303,93.42676697,139.4104522
KCNB1,1.016698274,0.252585112,1.569464557,7.289705203,15.79233886
KCNC1,0,0.172861864,2.928746732,9.09382339,21.71288539
KCNC3,0,1.319003423,0.855428981,0.707880724,0.62629687
KCND2,3.488285373,0.142980489,0.170175101,0.149971922,2.448719884
KCND3,5.244597508,0.110389893,0.406203433,0.480745906,3.437082008
KCNE3,0.890361086,0.755614257,0.376974815,1.127930316,0.230814412
KCNH1,6.373449504,2.51455185,0.702346521,5.839867795,4.625191683
KCNH2,0,1.774772816,35.36975693,23.53387226,3.590202657
KCNJ11,0,3.065767674,3.782596148,4.205443206,2.094552966
KCNJ2,11.38114368,6.517271322,9.185055346,4.493102011,2.661565863
KCNJ6,5.450196123,7.212831425,4.732607582,4.007285352,5.819230946
KCNK9,0.285851701,0.341838689,0.765632442,1.386935363,0.078667124
KCNMA1,153.4206549,75.47871694,38.92216516,26.37875599,31.37981213
KCNQ3,2.756486323,3.244419881,0.361172163,0.556707378,1.018967564
KCNQ4,0.209138152,1.51362786,23.09670418,18.72202981,4.090738392
KCNQ5,12.45293451,20.36031984,3.227087911,1.705633515,5.651290023
KCNT1,0.014525339,0.209744602,1.175732166,1.261242116,0.598362544
KDM5D,18.98604929,19.79770315,32.36840448,28.81661991,44.70950785
KDR,0.119486393,3.920741318,1.769544153,1.462315415,1.137380931
KHK,0.775599867,1.159901279,2.608305413,2.33774651,1.190991603
KIAA0825,3.616974147,1.712620094,0.994467494,1.533154489,2.05464655
KIF1A,0.018086837,21.1173285,32.40145559,20.98642956,7.442495324
KIF26A,0.121316271,0.267997492,1.761330827,6.95135589,9.830514577
KIF5A,0.902083551,1.595373738,1.566142059,4.096456248,6.77237207
KIRREL3,17.80355967,17.675281,0.421629746,0.193050506,0.995115846
KISS1,0.026736632,0.032076793,1.105085118,4.105985674,4.236941191
KIT,74.85573025,12.14265097,30.91440204,53.03320563,52.1654842
KL,0.2876193,0.446502888,0.400277168,0.695482981,1.563551147
KLF11,20.44582689,15.45832532,7.345070887,12.65396299,24.32850515
KLHL15,15.09824394,14.94748617,10.29815753,11.53307215,12.56300579
KLHL40,0,0.079553223,2.490753772,7.271028554,10.65065907
KLHL41,0.889917237,45.09420178,679.9326796,624.5438015,462.2629184
KLHL9,74.10070693,47.69897038,47.47596634,55.7368687,56.16552759
KLKB1,0.530323071,0.382216176,0.926255943,1.009393819,1.473759311
KMT2B,47.53986056,51.95184687,42.9854886,54.12284693,34.32822426
KRT81,0.119912141,1.370681815,1.629532057,1.145420422,2.747534276
KY,0.743333442,1.528134723,1.820931981,1.372330756,0.182839144
L1CAM,2.971223975,29.60044452,5.439644404,9.076599373,20.94739792
LAMA3,2.457621322,4.725517058,1.991241806,0.357255021,3.796468857
LAMA5,30.18949526,31.06054662,374.4958779,280.7618923,60.34822653
LAMC2,2.331727833,10.9770833,2.721779008,3.299001648,3.073139958
LAMC3,0.971939399,1.16995632,2.451524324,28.87828161,29.26577673
LBX1,0,0.674087654,1.836631118,2.065374294,1.044902912
LDB3,0.092372893,0.186006175,36.2456431,91.41462986,103.4218447
LDHD,1.139977478,1.6544137,5.769350592,5.768589983,0.814674282
LEFTY2,0,0.18717238,0.720679593,5.212649796,3.393784317
LGI4,0.80561097,12.05844348,21.92612515,16.81621802,3.868924581
LHX4,0.065785532,0.478269419,3.532698456,2.497558291,5.645504413
LIFR,9.761322797,7.561395959,8.67697959,6.476658821,14.62004202
LIG4,18.18001553,41.46760151,44.60123045,33.97150794,28.97243332
LIMS2,41.76158473,15.15336378,16.36784246,18.54515577,26.06789916
LINGO1,0.361835563,0.667548186,1.122685972,1.434298076,0.520185452
LIPC,4.258062131,2.599444167,5.601700569,5.197630892,4.055264339
LIPT1,3.238237728,2.724334514,3.199014964,6.019448487,5.63081855
LMOD2,0,0.268022796,3.37075455,13.53778243,7.709830309
LMOD3,0,0.108653206,22.90323677,34.2122026,39.25370427
LPAR6,9.906680703,7.482984609,7.634763932,7.644120365,8.640213143
LRRC56,0.913407779,0.293937304,0.777655181,0.64278909,0.651864772
LRRC8A,77.17987324,89.78680028,67.02950673,69.28011451,53.09199723
LYRM4,27.92589053,23.23273251,19.44375647,22.83712951,20.56558282
LZTS1,4.23336444,13.42243481,60.5678792,38.9801987,16.75483393
MAGI2,13.85827492,10.15473003,12.30709658,12.60196424,13.43619092
MAMLD1,82.89838866,13.90466876,7.497957956,10.90168511,15.79242543
MARVELD2,1.637562876,1.076476518,1.562473557,0.839826153,1.492729442
MAST1,0.262432627,1.300825237,0.621759876,0.653970627,0.677275418
MAST4,19.60563691,33.73528041,21.41604503,12.19154447,20.11142459
MCFD2,379.6658025,314.4510369,179.9443252,190.6953672,195.3772243
MDM2,187.330016,205.9116012,180.8545998,184.8030593,154.9275014
MECOM,2.018765229,5.094313691,1.456718303,0.861979519,1.217057027
MED12L,1.09511447,1.538350643,1.238722702,0.975147119,1.553358883
MEF2C,19.59512268,33.78519122,66.84407948,74.34769845,132.1675099
MEGF10,0.428380525,7.429442524,10.80464686,13.37202679,7.772893964
MEI1,0.686414598,2.977510314,0.185030137,0.335793517,0.288023378
MEIOB,0.995964362,0.239580379,0.785804279,1.217040881,1.249213373
MEN1,38.95384151,35.09174404,34.19809619,32.03004403,26.85641294
MITF,1.662428067,2.959288344,1.714400309,1.986713012,2.468109973
MLIP,0,0.457434073,1.578054047,2.768203544,1.560250739
MOV10L1,1.247599315,1.798893268,0.910751318,0.878530817,0.786214145
MPO,0,5.075762045,7.954316738,6.012667767,0.659732427
MSTN,1.771241313,0.798318868,2.345319032,1.6633697,2.211071374
MUC1,15.69396282,6.867175777,2.989834098,4.187084028,4.472030429
MUSK,0.017450907,3.036848044,21.7815101,19.50055697,7.07845334
MYH2,0.785315058,0.690143061,21.41935991,45.19096672,292.3475225
MYH3,6.703763694,3.585872337,63.66910665,118.225136,222.2682358
MYH6,0.16192485,0.158552011,0.317084738,1.312877735,3.711463424
MYH7,0.175370648,0.076706499,0.307788586,2.870707428,18.55446449
MYH7B,0.298756829,0.914261389,79.6575965,183.9952614,74.27334836
MYH8,0,0.343663919,81.91485322,332.0040686,503.9438421
MYL1,0,0.037503719,12.80425912,37.23403835,101.7094924
MYL3,1.678976287,0.573214566,0.48505709,1.974194355,3.518854778
MYLK3,0.508858026,1.467156619,2.104389477,1.555051456,0.586098006
MYO15A,0.697619684,2.227247614,3.971517507,1.246404805,1.024525607
MYO18B,0.146819274,0.350640773,28.77415268,33.7934825,13.88717641
MYO5B,0,7.298977128,58.55473024,30.0956197,2.149827837
MYO7A,0,4.014002047,9.630008082,6.127845543,0.253111436
MYOD1,0.016598466,5557.736216,3372.536929,1599.676623,83.65565194
MYOM1,1.793831106,0.565597479,2.760900168,9.202578771,21.28227753
MYOZ2,0,1.60922389,20.74942187,51.31009148,31.01824983
MYPN,2.035138077,9.160700589,30.65557166,25.23857158,23.63695265
NALCN,9.230766394,2.517619459,4.474755587,4.476196188,5.207976032
NAT8L,0.619091138,0.905412405,11.3034946,7.914611299,9.992074218
NBEA,16.61834478,12.84415157,37.82584217,40.09027951,26.5009599
NCOA4,231.8936979,215.2243398,200.0997835,179.4955539,204.650079
NDNF,6.056358424,2.443273676,20.72164193,42.37354522,106.7615007
NDP,1.449414795,1.801543639,11.53942481,15.82818212,9.561934444
NDUFC1,19.84945433,21.02958903,28.16799094,27.85128143,28.03725668
NEB,0.037563702,1.577049532,42.76974449,179.5175651,119.1792906
NEFH,0.641289905,0.916582817,1.547214066,0.861170199,1.225520905
NEK10,6.866371086,5.369680237,2.078997476,2.550118311,4.816869526
NEUROD2,0,0.501542311,1.547927146,1.701732884,0.035017367
NFASC,138.6640898,222.0564044,199.4271721,118.7636906,65.60244832
